dataset_idx,dataset,run,ref_method,target_fnum,target_fratio,was_filled
5.0,Madelon,37,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,13.0,0.026,False
5.0,Madelon,38,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,12.0,0.024,False
5.0,Madelon,39,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,18.0,0.036,False
5.0,Madelon,40,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,11.0,0.022,False
6.0,Isolet,1,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
6.0,Isolet,2,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,56.0,0.0907617504051863,False
6.0,Isolet,3,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,66.0,0.1069692058346839,False
6.0,Isolet,4,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,78.0,0.126418152350081,False
6.0,Isolet,5,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,50.0,0.0810372771474878,False
6.0,Isolet,6,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
6.0,Isolet,7,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,44.0,0.0713128038897893,False
6.0,Isolet,8,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,56.0,0.0907617504051863,False
6.0,Isolet,9,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,60.0,0.0972447325769854,False
6.0,Isolet,10,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,62.0,0.1004862236628849,False
6.0,Isolet,11,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,56.0,0.0907617504051863,False
6.0,Isolet,12,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,66.0,0.1069692058346839,False
6.0,Isolet,13,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,54.0,0.0875202593192868,False
6.0,Isolet,14,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,36.0,0.0583468395461912,False
6.0,Isolet,15,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
6.0,Isolet,16,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,54.0,0.0875202593192868,False
6.0,Isolet,17,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
6.0,Isolet,18,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,50.0,0.0810372771474878,False
6.0,Isolet,19,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,60.0,0.0972447325769854,False
6.0,Isolet,20,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,84.0,0.1361426256077795,False
6.0,Isolet,21,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,54.0,0.0875202593192868,False
6.0,Isolet,22,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,44.0,0.0713128038897893,False
6.0,Isolet,23,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,60.0,0.0972447325769854,False
6.0,Isolet,24,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,68.0,0.1102106969205834,False
6.0,Isolet,25,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,44.0,0.0713128038897893,False
6.0,Isolet,26,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,44.0,0.0713128038897893,False
6.0,Isolet,27,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,44.0,0.0713128038897893,False
6.0,Isolet,28,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,62.0,0.1004862236628849,False
6.0,Isolet,29,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,50.0,0.0810372771474878,False
6.0,Isolet,30,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
6.0,Isolet,31,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,44.0,0.0713128038897893,False
6.0,Isolet,32,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,42.0,0.0680713128038897,False
6.0,Isolet,33,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,52.0,0.0842787682333873,False
6.0,Isolet,34,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
6.0,Isolet,35,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,50.0,0.0810372771474878,False
6.0,Isolet,36,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,50.0,0.0810372771474878,False
6.0,Isolet,37,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,56.0,0.0907617504051863,False
6.0,Isolet,38,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,50.0,0.0810372771474878,False
6.0,Isolet,39,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.0940032414910859,False
